Player|Position|College|NFL_Team|Years|Dollars|Guaranteed|2018_CAP
Eddy Piniero|K|K|Florida|OAK|$1,735,000|$25,000|$488,333
Josh Adams|RB|RB|Notre Dame|PHI|$1,735,000|$55,000|$488,333
Jalen Davis|CB|CB|Utah State|MIA|$1,730,000|$45,000|$486,666
Ralph Webb|RB|RB|Vanderbilt|NE|$1,730,000|$70,000|$486,666
Tarvarus McFadden|CB|CB|Florida State|SF|$1,730,000|$90,000|$486,666
Godwin Igwebuike|S|S|Northwestern|TB|$1,730,000|$105,000|$486,666
Keith Kirkwood|LB|LB||NO|$1,727,000|$42,000|$485,666
Chandon Sullivan|CB|CB|Georgia State|PHI|$1,726,000|$51,000|$485,333
Darrel Williams|RB|RB||KC|$1,725,000|$30,000|$485,000
Deon Yelder|TE|TE|Western Kentucky|NO|$1,725,000|$90,000|$485,000
Jeff Holland|LB|LB|Auburn|DEN|$1,725,000|$15,000|$485,000
Korey Robertson|WR|WR|Southern Mississippi|MIN|$1,725,000|$50,000|$485,000
Phillip Lindsay|RB|RB|Colorado|DEN|$1,725,000|$15,000|$485,000
Holton Hill|CB|CB|Texas|MIN|$1,725,000|$75,000|$485,000
Tre Williams|LB|LB|Auburn|NYJ|$1,722,500|$47,500|$484,166
Jaryd Jones-Smith|T|T|Pittsburgh|HOU|$1,722,000|$22,000|$484,000
Jeff Badet|WR|WR|Oklahoma|MIN|$1,722,000|$22,000|$484,000
Garret Dooley|LB|LB|Wisconsin|MIN|$1,721,000|$41,000|$483,666
Mike McCray|LB|LB|Michigan|MIA|$1,720,000|$22,000|$483,333
Vyncint Smith|WR|WR|Limestone|HOU|$1,720,000|$35,000|$483,333
Sean Chandler|S|S|Temple|NYG|$1,720,000|$35,000|$483,333
Toby Weathersby|T|T|Louisiana State|PHI|$1,720,000|$40,000|$483,333
Jeremy Reaves|S|S|South Alabama|PHI|$1,720,000|$30,000|$483,333
Leon Johnson|T|T|Temple|DEN|$1,720,000|$10,000|$483,333
Roc Thomas|RB|RB|Jacksonville State|MIN|$1,720,000|$23,000|$483,333
Curtis Cothran|DT|DT|Penn State|MIN|$1,720,000|$25,000|$483,333
Kurt Benkert|QB|QB|Virginia|ATL|$1,720,000|$60,000|$483,333
John Diarse|WR|WR|Texas Christian|DEN|$1,718,000|$8,000|$482,666
Michael Ford|CB|CB|Southeast Missouri State|DET|$1,717,500|$20,000|$482,500
Allen Lazard|WR|WR|Iowa State|JAC|$1,717,500|$40,000|$482,500
Mike Boone|RB|RB|Cincinnati|MIN|$1,717,500|$7,500|$482,500
Terry Swanson|RB|RB|Toledo|HOU|$1,716,000|$21,000|$482,000
Tyler Hoppes|TE|TE|Nebraska|MIN|$1,716,000|$6,000|$482,000
Bruce Hector|DT|DT|South Florida|PHI|$1,715,000|$60,000|$481,666
Peter Pujals|QB|QB|Holy Cross|MIN|$1,715,000|$10,000|$481,666
Hercules Mata'afa|LB|LB|Washington State|MIN|$1,714,000|$19,000|$481,333
Chris Gonzalez|G|G|San Jose State|MIN|$1,712,500|$2,500|$480,833
Kyle Wilson|LB|LB|Arkansas State|PHI|$1,710,000|-|$480,000
Kayaune Ross|WR|WR|Kentucky|IND|$1,710,000|-|$480,000
Nick Stevens|QB|QB|Colorado State|DEN|$1,710,000|-|$480,000
Shaheed Salmon|LB|LB|Samford|TB|$1,710,000|-|$480,000
Davon Grayson|WR|WR|East Carolina|KC|$1,710,000|-|$480,000
Ryan Yurachek|FB|FB|Marshall|NO|$1,710,000|-|$480,000
KeShun Freeman|LB|LB|Georgia Tech|NO|$1,710,000|-|$480,000
Patrick Afriyie|DE|DE|Colgate|LAC|$1,710,000|-|$480,000
Eldridge Massington|WR|WR|California-Los Angeles|NO|$1,710,000|-|$480,000
Dalton Keene|DT|DT|Illinois State|LA|$1,710,000|-|$480,000
Michael Cirino|S|S|Adams State|IND|$1,710,000|-|$480,000
Jason Hall|S|S|Texas|ATL|$1,710,000|-|$480,000
Blaine Woodson|DT|DT|Delaware|SF|$1,710,000|-|$480,000
Brian Womac|DE|DE|Rice|LA|$1,710,000|-|$480,000
Chucky Williams|S|S|Louisville|LA|$1,710,000|-|$480,000
